Biere;;;
;;;
Export - Biere 0,5 Liter ;Anzahl/Ltr. ;Preis ;Pfand
Binding Export ;20 x 0,5 lt ;15,45;3,00
Dachsenfranz Kellerbier Bügelflasche ;12 x 0,5 lt ;12,45;3,30
Eichbaum Export ;20 x 0,5 lt ;15,80;3,00
Heidelberger Export ;20 x 0,5 lt ;16,45;3,00
Kurpfalz Bräu Kellerbier ;20 x 0,5 lt ;19,45;3,00
Welde Export ;20 x 0,5 lt ;18,00;3,00
  ;  ;  ; 
HELLE Biere 0,5  / 0,33 Liter ;Anzahl/Ltr. ;Preis ;Pfand
Andechser Hell ;20 x 0,5 lt ;20,95;3,00
Augustiner Hell ;20 x 0,5 lt ;20,95;3,00
Chimseer Hell ;20 x 0,5 lt ;20,95;3,00
Heidelberger Hell ;24 x 0,33 lt ;16,45;3,00
Kurpfalzbräu Helles ;20 x 0,5 lt ;19,50;3,00
Kurpfalzbräu Helles ;20 x 0,33 lt ;18,50;3,00
Mooser Liesl Helles ;20 x 0,5 lt ;20,95;3,00
Tegernseer Hell ;20 x 0,5 lt ;20,95;3,00
  ;  ;  ; 
Pils - Biere 0,5 Liter ;Anzahl/Ltr ;Preis ;Pfand
Beck´s Pilsner ;20 x 0,5 lt ;19,95;3,00
Binding Pils ;20 x 0,5 lt ;15,45;3,00
Bitburger Pils ;20 x 0,5 lt ;16,80;3,00
Dachsenfranz Waldpils Bügelflasche ;12 x 0,5 lt ;12,45;3,30
Eichbaum Ureich Pils ;20 x 0,5 lt ;16,95;3,00
Fürstenberg Pils ;20 x 0,5 lt ;15,80;3,00
Heidelberger Pils ;20 x 0,5 lt ;15,45;3,00
Heidelberger 1603 Pils ;20 x 0,5 lt ;15,80;3,00
Jever Pils ;20 x 0,5 lt ;16,95;3,00
König Pilsner ;20 x 0,5 lt ;15,80;3,00
Krombacher Pils ;20 x 0,5 lt ;16,80;3,00
Mönchhof Original Pils Bügelflasche ;20 x 0,5 lt ;18,00;4,50
Rothaus Pils ;20 x 0,5 lt ;17,30;3,00
Welde Nr.1 Pils ;20 x 0,5 lt ;18,00;3,00
  ;  ;  ; 
Pils - Biere 0,33 Liter ;Anzahl/Ltr ;Preis ;Pfand
Beck´s Pilsner ;24 x 0,33 lt ;18,95;3,00
Bitburger Pils ;24 x 0,33 lt ;16,80;3,00
Bitburger Pils Stubbi ;20 x 0,33 lt ;13,45;3,00
Eichbaum Kläänes Pils Bügelflasche ;20 x 0,33 lt ;14,95;4,50
Eichbaum Ureich Pils ;24 x 0,33 lt ;16,45;3,00
Flensburger Pils Bügelflasche ;20 x 0,33 lt ;16,45;4,50
Heidelberger 1603 Pils ;24 x 0,33 lt ;16,45;3,00
Jever Pils ;24 x 0,33 lt ;16,95;3,00
Rothaus Tannenzäpfchen ;24 x 0,33 lt ;18,00;3,00
Rothaus Tannenzäpfchen ;10 x 0,33 lt ;8,50;2,00
Warsteiner ;24 x 0,33 lt ;16,80;3,00
Welde Nr.1 Pils ;24 x 0,33 lt ;18,00;3,00
  ;  ;  ; 
Weizen -Biere 0,5 Liter ;Anzahl/Ltr ;Preis ;Pfand
Andechser Weissbier hell ;20 x 0,5 lt ;20,95;3,00
Benediktiner Hefe hell ;20 x 0,5 lt ;20,95;3,00
Erdinger Weißbier Hefe hell ;20 x 0,5 lt ;19,00;3,00
Franziskaner Weißbier Hefe hell ;20 x 0,5 lt ;19,95;3,00
Kurpfalz Bräu Ur-Weizen trüb ;20 x 0,5 lt ;19,45;3,00
Paulaner Weißbier Hefe hell ;20 x 0,5 lt ;18,50;3,00
Paulaner Weizenbier Kristall ;20 x 0,5 lt ;18,50;3,00
Paulaner Weißbier Hefe dunkel ;20 x 0,5 lt ;18,50;3,00
Rothaus Weizenbier Hefe hell ;20 x 0,5 lt ;18,00;3,00
Schneider Weisse Orginal TAP7 ;20 x 0,5 lt ;20,95;3,00
Schöfferhofer Weizenbier Kristall ;20 x 0,5 lt ;18,00;3,00
Schöfferhofer Weizenbier Hefe hell ;20 x 0,5 lt ;18,00;3,00
Schöfferhofer Weizenbier Hefe dunkel ;20 x 0,5 lt ;18,00;3,00
Welde Weizenbier Hefe hell ;20 x 0,5 lt ;19,00;3,00
  ;  ;  ; 
Weizenbiere 0,33 Liter ;Anzahl/Ltr ;Preis ;Pfand
Rothaus Zäpfle Hefeweizen ;24 x 0,33 lt ;18,00;3,00
  ;  ;  ; 
Alkoholfreie Weizenbiere 0,5 Liter ;Anzahl/Ltr ;Preis ;Pfand
Erdinger Weißbier Hefe hell alkoholfrei ;20 x 0,5 lt ;19,00;3,00
Paulaner Weißbier Hefe hell alkoholfrei ;20 x 0,5 lt ;18,50;3,00
Paulaner Weißbier Hefe hell 0,0% ;20 x 0,5 lt ;18,50;3,00
Welde Weizenbier Hefe hell alkoholfrei ;20 x 0,5 lt ;19,00;3,00
Welde Sportler Weizen hell alkoholfrei ;20 x 0,5 lt ;19,00;3,00
  ;  ;  ; 
Alkoholfreie Biere 0,5 lt ;Anzahl/Ltr ;Preis ;Pfand
Clausthaler Premium alkoholfrei ;20 x 0,5 lt ;15,80;3,00
Jever fun alkoholfrei ;20 x 0,5 lt ;17,45;3,00
  ;  ;  ; 
Alkoholfreie Biere 0,33 lt ;Anzahlt/Ltr ;Preis ;Pfand
Clausthaler Premium alkoholfrei ;24 x 0,33 lt ;16,45;3,00
Rothaus Tannenzäpfle alkoholfrei ;24 x 0,33 lt ;18,00;3,00
Jever fun alkoholfrei ;24 x 0,33 lt ;17,45;3,00
Welde Nr.1 Pils alkoholfrei ;24 x 0,33 lt ;18,00;3,00
  ;  ;  ; 
Leicht - Biere 0,33 Liter ;Anzahl/Ltr ;Preis ;Pfand
Jever light ;24 x 0,33 lt ;18,45;3,00
  ;  ;  ; 
Radler - Mix - Biere 0,33 Liter ;Anzahl/Ltr ;Preis ;Pfand
Eichbaum Radler Bügelflasche ;20 x 0,33 lt ;14,95;4,50
Eichbaum Radler ;24 x 0,33 lt ;16,45;3,00
Schöfferhofer Grapefruit ;24 x 0,33 lt ;18,00;3,00
Rothaus Tannenzäpfchen Radler ;24 x 0,33 lt ;18,00;3,00
Welde Radler naturtrüb ;24 x 0,33 lt ;18,00;3,00
Welde Grape ;24 x 0,33 lt ;18,00;3,00
  ;  ;  ; 
Radler - Biere 0,5 Liter ;Anzahl/Ltr ;Preis ;Pfand
Welde Radler naturtrüb ;20 x 0,5 lt ;18,00;3,00
Kurpfalz Bräu Radler naturtrüb ;20 x 0,5 lt ;19,45;3,00
  ;  ;  ; 
Radler - Biere 0,33 Liter alkoholfrei ;Anzahl/Ltr ;Preis ;Pfand
Welde Radler naturtrüb alkoholfrei ;24 x 0,33 lt ;18,00;3,00
  ;  ;  ; 
Dunkel - Schwarz - Biere 0,5 Liter ;Anzahl/Ltr ;Preis ;Pfand
Dachsenfranz Original Dunkel Bügelflasche ;12 x 0,5 lt ;12,45;3,30
Mönchhof Schwarzbier Bügelflasche ;20 x 0,5 lt ;18,00;4,50
  ;  ;  ; 
Malz - Biere 0,33 Liter ;Anzahl/Ltr ;Preis ;Pfand
Karamalz ;24 x 0,33 lt ;14,45;3,00
  ;  ;  ; 
Saison - Biere verschiedene Größen ;Anzahl/Ltr ;Preis ;Pfand
Heidelberger Bock Bügelflasche ;20 x 0,33 lt ;15,95;4,50
Kurpfalz Bräu Eis-Bock ;20 x 0,5 lt ;19,45;3,00
Altenmünster Maibock Bügelflasche ;14 x 0,5 lt ;15,45;3,60
Altenmünster Winterbier ;14 x 0,5 lt ;15,45;3,60
Heidelberger Winterbier ;20 x 0,5 lt ;16,95;3,00
;;;
 ;;;
Coca-Cola Produkte;;;
;;;
Glasflasche 0,2 Liter ;Anzahl/Ltr. ;Preis ;Pfand
